Pais,Total_Personas,Porcentaje_Mujeres,Edad_Promedio,Porcentaje_18_35,Porcentaje_Educacion_Superior,Porcentaje_Solteros,Codigo_ISO,Cluster
ALEMANIA,9294.0,56.257398041536646,33.47928548369741,66.3187345313677,0.0,58.3342300656408,DEU,0
ANDORRA,280.0,50.71428571428571,33.55357142857143,63.21428571428571,0.0,65.35714285714286,AND,0
ARABIA SAUDITA,150.0,52.0,33.7,62.66666666666667,0.0,50.0,SAU,0
ARGENTINA,19233.0,51.16413517632837,33.62868555211016,61.423240658012304,0.0,74.29442371367004,ARG,0
ARUBA,2258.0,54.62222222222223,33.41422222222222,62.977777777777774,0.0,59.28888888888889,ABW,0
AUSTRALIA,17681.0,53.35225659948907,33.934601192165765,62.73062730627307,0.0,46.42634118648879,AUS,0
AUSTRIA,790.0,57.48730964467005,33.34771573604061,66.75126903553299,0.0,64.08629441624365,AUT,0
BELGICA,1540.0,56.111833550065015,33.67490247074122,61.44343302990898,0.0,62.22366710013005,BEL,0
BOLIVIA,1313.0,34.53846153846154,32.86615384615384,68.15384615384616,0.0,60.92307692307693,BOL,2
BRASIL,15424.0,33.79942767950052,33.0795395421436,66.5257544224766,0.0,69.84911550468263,BRA,2
CANADA,17851.0,53.2139034420596,33.29846205847558,62.57675623908512,0.0,51.49005689820292,CAN,0
CHILE,22500.0,52.24949335735195,33.77378968700743,58.86512046836299,0.0,65.75095699166855,CHL,0
CHINA,622.0,47.2668810289389,34.02733118971061,57.87781350482315,0.0,61.7363344051447,CHN,2
"COREA, REPUBLICA DE",469.0,69.44444444444444,31.55128205128205,78.63247863247864,0.0,70.94017094017094,KOR,0
COSTA RICA,5236.0,47.35733435465339,33.29299119111452,63.90271926464956,0.0,55.744925315970896,CRI,2
CURAZAO,921.0,50.16429353778752,32.46002190580504,69.98904709748082,0.0,71.30339539978094,CUW,2
DINAMARCA,338.0,50.44510385756677,33.25519287833828,61.72106824925816,0.0,55.78635014836796,DNK,0
ECUADOR,36431.0,48.86842903216914,32.84430906635058,67.93836315020536,0.0,62.18265016401576,ECU,2
EL SALVADOR,400.0,39.25,33.86,56.99999999999999,0.0,55.00000000000001,SLV,2
EMIRATOS ARABES UNIDOS,1230.0,48.41075794621027,34.47758761206194,51.75224123879381,0.0,52.40423797881011,ARE,0
ESPAÑA,187243.0,54.0496943170392,32.81658484651328,68.63590659059992,0.0,69.37578302693343,ESP,1
ESTADOS UNIDOS,166133.0,51.37387169957041,33.20094004923493,65.11741564898392,0.0,55.5123811362649,USA,1
FINLANDIA,312.0,47.11538461538461,33.51282051282051,63.78205128205128,0.0,51.28205128205128,FIN,2
FRANCIA,10133.0,58.95839509832987,33.55114141713608,63.69206443324439,0.0,58.72121751161183,FRA,0
GUATEMALA,1936.0,45.47803617571059,33.17726098191214,65.32299741602067,0.0,59.89664082687338,GTM,2
HONDURAS,325.0,41.17647058823529,33.73374613003096,59.75232198142415,0.0,56.03715170278638,HND,2
HUNGRIA,164.0,57.66871165644172,32.41104294478528,73.61963190184049,0.0,65.03067484662577,HUN,0
IRLANDA,347.0,57.80346820809249,34.690751445086704,51.73410404624278,0.0,54.91329479768786,IRL,0
ISRAEL,901.0,59.88888888888889,33.352222222222224,63.77777777777778,0.0,60.333333333333336,ISR,0
ITALIA,7307.0,58.08662280701754,33.11211622807018,65.98135964912281,0.0,64.08991228070175,ITA,0
JAPON,501.0,46.2,33.674,59.8,0.0,52.6,JPN,2
LUXEMBURGO,125.0,63.2,35.008,48.8,0.0,42.4,LUX,0
MALTA,903.0,54.81727574750831,33.04761904761905,69.76744186046511,0.0,67.55260243632335,MLT,0
MEXICO,10626.0,53.74091895461836,33.66185489197094,60.835927917728085,0.0,55.84489102745543,MEX,0
NORUEGA,431.0,57.30858468677494,33.69373549883991,58.23665893271461,0.0,62.41299303944315,NOR,0
NUEVA ZELANDA,1649.0,59.12408759124088,34.12530413625304,59.85401459854016,0.0,57.17761557177615,NZL,0
PAISES BAJOS,2270.0,59.08289241622576,33.71957671957672,60.89065255731923,0.0,58.90652557319223,NLD,0
PANAMA,11301.0,52.619793999104346,33.61227048813256,59.847738468428126,0.0,59.64173757277206,PAN,0
PARAGUAY,372.0,37.46630727762803,33.2911051212938,63.61185983827493,0.0,70.08086253369272,PRY,2
PERU,6216.0,42.98854284331128,32.90414716798451,67.6779086654833,0.0,63.12731967080845,PER,2
POLONIA,1674.0,33.014354066985646,32.555622009569376,71.94976076555024,0.0,51.07655502392344,POL,2
PORTUGAL,1691.0,52.39786856127886,33.40438129070456,65.18650088809946,0.0,53.700414446418,PRT,0
REINO UNIDO,7126.0,56.81016231474947,33.178687367678194,63.47212420606916,0.0,67.86167960479888,GBR,0
REPUBLICA CHECA,215.0,48.598130841121495,34.11682242990654,61.6822429906542,0.0,60.280373831775705,CZE,2
REPUBLICA DOMINICANA,601.0,58.833333333333336,34.095,55.16666666666666,0.0,53.66666666666666,DOM,0
SINGAPUR,170.0,54.11764705882353,35.28235294117647,44.11764705882353,0.0,44.11764705882353,SGP,0
SUECIA,1443.0,55.23215523215524,33.58004158004158,61.26126126126125,0.0,51.90575190575191,SWE,0
SUIZA,2480.0,59.91118288251918,34.039563988696,57.20629794105773,0.0,53.29027048849415,CHE,0
TAILANDIA,136.0,54.41176470588235,34.294117647058826,56.61764705882353,0.0,66.91176470588235,THA,0
